"docid"	"segmentid"	"text"	"ANNOTATOR1"	"ANNOTATOR2"	"MERGED"
"masc_news_20000410_nyt-NEW.txt"	"0"	"Iraq clears visit by Ohio official"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"1"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"2"	"By Scott Montgomery Washington"	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"3"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"4"	"The Iraqi government has agreed to let U.S. Rep. Tony Hall visit thecountry next week to assess a humanitarian crisis"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"5"	"that has festered since the Gulf War"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"6"	"of 1990, Hall's office said Monday."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"7"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"8"	"The Dayton Democrat, who has traveled to other crisis points includingSierra Leone and North Korea,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"9"	"will spend three days"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"10"	"visiting hospitals and other facilities to seek understanding"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"11"	"why aid has been ineffective in stemming malnourishment and other medical problems."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000410_nyt-NEW.txt"	"12"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"13"	"Iraq has been under economic sanctions since the war"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000410_nyt-NEW.txt"	"14"	"ended,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"15"	"which somesay have thwarted the country's ability to recover from the devastation of the bombing campaign."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"16"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"17"	"The Persian Gulf War destroyed much of the country's medicalinfrastructure,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"18"	"according to a report by the World Health Organization."	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"19"	"In 1996 the WHO found"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"20"	"that much of the population existed in a state of ``semi starvation.''"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000410_nyt-NEW.txt"	"21"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"22"	"Hall will be only the second member of Congress to travel in Iraq sincethe war,"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000410_nyt-NEW.txt"	"23"	"according to Hall's office."	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"24"	"The last visitor was then-U.S. Rep. Bill Richardson of New Mexico,"	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000410_nyt-NEW.txt"	"25"	"who went to help a pair of U.S. oilmen in diplomatic trouble."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"26"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"27"	"Hall flies to Amman, Jordan, on Friday,"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"28"	"where he'll spend the nightbefore driving to Iraq."	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
"masc_news_20000410_nyt-NEW.txt"	"29"	"Flights are not permitted into Iraq."	"STATIVE"	"STATIVE"	"STATIVE"
"masc_news_20000410_nyt-NEW.txt"	"30"	"Hall is to return to Washington on April 22."	"DYNAMIC"	"STATIVE"	"BOTH"
"masc_news_20000410_nyt-NEW.txt"	"31"	""	"NONE"	"NONE"	"NONE"
"masc_news_20000410_nyt-NEW.txt"	"32"	"Story Filed By Cox Newspapers"	"DYNAMIC"	"DYNAMIC"	"DYNAMIC"
